fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_dainess,results_bullocks,results_absentee_dainess,results_absentee_bullocks,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
30031,Gallatin,71369,0,32,32,Merged into voters' home precincts and released with cumulative results,100,71507,100%,100% reported,edison,10,unknown,,51851,,,31829,39540,0,0,2021-01-15T20:22:15Z,10.80441,D+11,Bullock +11,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30033,Garfield,809,0,4,4,Merged into voters' home precincts and released with cumulative results,100,813,100%,100% reported,edison,10,unknown,,432,,,736,73,0,0,2020-11-24T13:22:58Z,81.95303,R+82,Daines +82,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30035,Glacier,5719,0,16,16,Merged into voters' home precincts and released with cumulative results,100,5719,100%,100% reported,edison,10,unknown,,3322,,,1687,4032,0,0,2021-03-06T23:15:34Z,41.00367,D+41,Bullock +41,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30037,Golden Valley,504,0,2,2,Merged into voters' home precincts and released with cumulative results,100,504,100%,100% reported,edison,10,unknown,,422,,,405,99,0,0,2020-11-24T13:22:59Z,60.71429,R+61,Daines +61,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30039,Granite,2101,0,4,4,Merged into voters' home precincts and released with cumulative results,100,2102,100%,100% reported,edison,10,unknown,,1243,,,1360,741,0,0,2020-11-24T13:23:00Z,29.46216,R+29,Daines +29,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30041,Hill,7223,0,17,17,Other,100,7223,100%,100% reported,edison,10,unknown,,5547,,,3746,3477,0,0,2021-03-06T23:15:35Z,3.72421,R+4,Daines +4,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30043,Jefferson,8173,0,10,10,Released as a separate subtotal as first report of the night,100,8191,100%,100% reported,edison,10,all,,4742,,,5206,2967,0,0,2021-01-15T20:23:09Z,27.39508,R+27,Daines +27,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30045,Judith Basin,1348,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1348,100%,100% reported,edison,10,unknown,,837,,,1026,322,0,0,2020-11-24T13:23:01Z,52.22552,R+52,Daines +52,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30047,Lake,16628,0,22,22,Merged into voters' home precincts and released with cumulative results,100,16628,100%,100% reported,edison,10,unknown,,10643,,,8964,7664,0,0,2020-12-01T14:00:15Z,7.81814,R+8,Daines +8,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30049,Lewis and Clark,42509,0,33,33,Released as a separate subtotal as first report of the night,100,42509,100%,100% reported,edison,10,unknown,,29778,,,20554,21955,0,0,2021-01-15T20:23:19Z,3.29577,D+3,Bullock +3,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30051,Liberty,1088,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1088,100%,100% reported,edison,10,unknown,,763,,,789,299,0,0,2020-11-24T13:21:43Z,45.03676,R+45,Daines +45,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30053,Lincoln,11718,0,14,14,Merged into voters' home precincts and released with cumulative results,100,11747,100%,100% reported,edison,10,unknown,,6806,,,8490,3228,0,0,2021-01-15T20:23:40Z,44.90527,R+45,Daines +45,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30057,Madison,6118,0,8,8,Merged into voters' home precincts and released with cumulative results,100,6118,100%,100% reported,edison,10,unknown,,2922,,,4103,2015,0,0,2021-01-15T20:24:02Z,34.1288,R+34,Daines +34,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30055,McCone,1123,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1128,100%,100% reported,edison,10,some,,688,,,946,177,0,0,2020-11-24T13:21:44Z,68.47729,R+68,Daines +68,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30059,Meagher,1118,0,1,1,Other,100,1118,100%,100% reported,edison,10,unknown,,978,,,812,306,0,0,2020-11-24T13:21:45Z,45.25939,R+45,Daines +45,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30061,Mineral,2551,0,6,6,Released as a separate subtotal as first report of the night,100,2563,100%,100% reported,edison,10,unknown,,1507,,,1735,816,0,0,2020-12-01T14:01:24Z,36.02509,R+36,Daines +36,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30063,Missoula,71797,0,52,52,Merged into voters' home precincts and released with cumulative results,100,71986,100%,100% reported,edison,10,unknown,,59576,,,25529,46268,0,0,2021-01-15T20:24:30Z,28.88561,D+29,Bullock +29,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30065,Musselshell,2879,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2881,100%,100% reported,edison,10,some,,1734,,,2341,538,0,0,2020-11-24T13:21:48Z,62.62591,R+63,Daines +63,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30067,Park,11607,0,11,11,None,100,11618,100%,100% reported,edison,10,unknown,,6699,,,5841,5766,0,0,2021-01-15T20:25:08Z,0.64616,R+0.65,Daines +0.65,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30069,Petroleum,351,0,1,1,None,100,351,100%,100% reported,edison,10,all,,189,,,300,51,0,0,2021-01-15T20:25:23Z,70.94017,R+71,Daines +71,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30071,Phillips,2378,0,2,2,Merged into voters' home precincts and released with cumulative results,100,2386,100%,100% reported,edison,10,unknown,,2000,,,1895,483,0,0,2021-01-15T20:25:31Z,59.37763,R+59,Daines +59,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30073,Pondera,3005,0,8,8,Released as a separate subtotal at the end of tabulation,100,3005,100%,100% reported,edison,10,unknown,,2141,,,1933,1072,0,0,2020-12-01T14:06:59Z,28.65225,R+29,Daines +29,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30075,Powder River,1137,0,7,7,Merged into voters' home precincts and released with cumulative results,100,1137,100%,100% reported,edison,10,unknown,,638,,,957,180,0,0,2020-11-24T13:21:53Z,68.33773,R+68,Daines +68,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30077,Powell,3176,0,13,13,Merged into voters' home precincts and released with cumulative results,99,3195,99%,99% reported,edison,10,unknown,,1578,,,2240,936,0,0,2021-03-06T23:15:44Z,41.05793,R+41,Daines +41,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30079,Prairie,747,0,4,4,Merged into voters' home precincts and released with cumulative results,100,747,100%,100% reported,edison,10,unknown,,480,,,586,161,0,0,2020-11-24T13:21:54Z,56.89424,R+57,Daines +57,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30081,Ravalli,28574,0,24,24,Released as a separate subtotal as first report of the night,100,28574,100%,100% reported,edison,10,unknown,,16965,,,18706,9868,0,0,2020-12-01T14:03:11Z,30.93022,R+31,Daines +31,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30083,Richland,5791,0,13,13,Other,100,5798,100%,100% reported,edison,10,all,,2582,,,4669,1122,0,0,2020-12-01T14:03:29Z,61.25022,R+61,Daines +61,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30085,Roosevelt,4033,0,12,12,Merged into voters' home precincts and released with cumulative results,100,4033,100%,100% reported,edison,10,unknown,,2086,,,1891,2142,0,0,2021-01-15T20:31:28Z,6.22365,D+6,Bullock +6,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30087,Rosebud,3774,0,12,12,Merged into voters' home precincts AFTER election night,100,3784,100%,100% reported,edison,10,unknown,,2216,,,2436,1338,0,0,2021-03-06T23:15:53Z,29.0938,R+29,Daines +29,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30089,Sanders,7586,0,9,9,Merged into voters' home precincts and released with cumulative results,99,7652,99%,99% reported,edison,10,all,,5891,,,5395,2191,0,0,2021-01-15T20:31:42Z,42.2357,R+42,Daines +42,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30091,Sheridan,2024,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2030,100%,100% reported,edison,10,unknown,,1792,,,1356,668,0,0,2020-12-01T14:04:22Z,33.99209,R+34,Daines +34,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30093,Silver Bow,18824,0,31,31,Merged into voters' home precincts AFTER election night,100,18827,100%,100% reported,edison,10,unknown,,14293,,,6641,12183,0,0,2021-01-15T20:31:58Z,29.44114,D+29,Bullock +29,democrat,bullocks,montana,2021-05-04T08:37:03.408895Z
30095,Stillwater,5744,0,8,8,Released as a separate subtotal at the end of tabulation,100,5744,100%,100% reported,edison,10,some,,3435,,,4370,1374,0,0,2021-01-15T20:32:08Z,52.15877,R+52,Daines +52,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30097,Sweet Grass,2459,0,5,5,Released as a separate subtotal as first report of the night,100,2459,100%,100% reported,edison,10,some,,1573,,,1834,625,0,0,2020-11-24T13:22:03Z,49.16633,R+49,Daines +49,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30099,Teton,3706,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3706,100%,100% reported,edison,10,all,,2734,,,2541,1165,0,0,2021-01-15T20:32:24Z,37.12898,R+37,Daines +37,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30101,Toole,2123,0,5,5,Merged into voters' home precincts and released with cumulative results,100,2123,100%,100% reported,edison,10,none,,1491,,,1528,595,0,0,2021-01-15T20:32:32Z,43.94724,R+44,Daines +44,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30103,Treasure,464,0,1,1,Merged into voters' home precincts and released with cumulative results,100,464,100%,100% reported,edison,10,unknown,,267,,,376,88,0,0,2020-12-01T14:05:30Z,62.06897,R+62,Daines +62,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30105,Valley,4259,0,3,3,Released as a separate subtotal as first report of the night,100,4272,100%,100% reported,edison,10,all,,3726,,,2953,1306,0,0,2021-01-15T20:32:39Z,38.67105,R+39,Daines +39,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30107,Wheatland,1059,0,5,5,Merged into voters' home precincts and released with cumulative results,99,1068,99%,99% reported,edison,10,some,,667,,,789,270,0,0,2020-11-24T13:22:10Z,49.0085,R+49,Daines +49,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30109,Wibaux,596,0,1,1,Merged into voters' home precincts and released with cumulative results,100,598,100%,100% reported,edison,10,unknown,,240,,,491,105,0,0,2020-11-24T13:22:13Z,64.7651,R+65,Daines +65,republican,dainess,montana,2021-05-04T08:37:03.408895Z
30111,Yellowstone,84109,0,44,44,Merged into voters' home precincts and released with cumulative results,100,84109,100%,100% reported,edison,10,unknown,,89706,,,49276,34833,0,0,2020-12-01T14:05:52Z,17.17177,R+17,Daines +17,republican,dainess,montana,2021-05-04T08:37:03.408895Z
