fips,name,votes,absentee_votes,reporting,precincts,eevp_display,eevp_source,results_letlowl,results_harrisl,results_absentee_letlowl,results_absentee_harrisl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_source_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,winner_called_timestamp_race,race_rating_general_race,is_runoff_results_race
22061,Lincoln,5871,2159,57,57,"",ap,3764,2107,1390,769,2020-12-06T03:30:42.103Z,28.22347,R+28,Letlow +28,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22065,Madison,1003,402,26,26,"",ap,669,334,242,160,2020-12-06T03:17:37.557Z,33.3998,R+33,Letlow +33,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22067,Morehouse,2564,1341,43,43,"",ap,1872,692,998,343,2020-12-06T03:17:37.557Z,46.02184,R+46,Letlow +46,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22073,Ouachita,14581,5111,87,87,"",ap,10253,4328,3525,1586,2020-12-06T04:48:04.803Z,40.63507,R+41,Letlow +41,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22079,Rapides,16279,5632,113,113,"",ap,6717,9562,2355,3277,2020-12-06T03:39:45.773Z,17.4765,R+17,Harris +17,republican,harrisl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22083,Richland,4017,1254,23,23,"",ap,3022,995,987,267,2020-12-06T03:17:37.557Z,50.46054,R+50,Letlow +50,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22091,St. Helena,372,127,2,2,"",ap,224,148,68,59,2020-12-06T03:17:37.557Z,20.43011,R+20,Letlow +20,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22097,St. Landry,2627,0,40,40,"",ap,1588,1039,0,0,2020-12-06T03:34:43.483Z,20.89836,R+21,Letlow +21,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22105,Tangipahoa,3910,1400,38,38,"",ap,2241,1669,745,655,2020-12-06T03:17:37.557Z,14.62916,R+15,Letlow +15,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22107,Tensas,856,389,16,16,"",ap,517,339,245,144,2020-12-06T03:34:43.483Z,20.79439,R+21,Letlow +21,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22117,Washington,3989,1349,41,41,"",ap,2820,1169,848,501,2020-12-06T03:36:44.290Z,41.38882,R+41,Letlow +41,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22123,West Carroll,1113,416,17,17,"",ap,842,271,318,98,2020-12-06T03:30:42.103Z,51.30279,R+51,Letlow +51,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22125,West Feliciana,1484,656,35,35,"",ap,959,525,415,241,2020-12-06T03:17:37.557Z,29.24528,R+29,Letlow +29,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
22127,Winn,1501,538,31,31,"",ap,1076,425,383,155,2020-12-06T03:17:37.557Z,43.37109,R+43,Letlow +43,republican,letlowl,LA-G-H-5-2020-12-05,la-house-general-election-runoff-district-005-2020-12-05,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,https://www.nytimes.com/interactive/2020/12/05/us/elections/results-louisiana-house-district-5-runoff.html,house,general-election-runoff,2020-12-05,FALSE,U.S. House District 5,U.S. House,H,"",5,District 5,LA,louisiana,Louisiana,La.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",79306,26526,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-12-06T02:00:00.000Z,9 p.m.,825,825,100% reporting,100%,ap,"",ap,republican,FALSE,2020-12-06T04:48:04.803Z,FALSE,24.03097,19058,R+24,Letlow +24,republican,FALSE,1607373425098,solid-rep,TRUE
